Servicenow TT,INC TT NO,Site ID,Priority,Area,Site Address,Category,Subcategory,Alarm Desc,Month,TT Issue Date,TT Close Date,Breached,Status,Spare Changed,Feedback,Breached_Flag,Spare_Flag,Area_Type,Is_Priority_Area,Month_Num,Priority_Num,IssueDate,Issue_Year,Issue_Month,Issue_Day,Issue_WeekDay
NOCINC0006031284 ,4983657,5919,S4,JAH,Abdally - Block 4 - Parcel 4ن - PACI NO 93857416 - Unit PACI NO19606352,MEW,Major / Site Down,Rectifier Major Radio,Jan,1/16/2026,1/16/2026,,close,NO,MEW program shut down/MDG Connected-Team visited site and found MEW power failure in the area due to program shut down. Presently we mobilized and connected MDG at site. Now alarm cleared.,0,0,Standard,0,1,4,1/16/2026,2026,1,16,Friday
NOCINC0006031286,4983660,1092,S1,JAH,"RAWDATEEN,Abdally 80 Road",Standby DG,Major / Site Down,Rectifier Major Radio,Jan,1/16/2026,1/16/2026,,close,NO,"MEW Power Failure/ATS hanged - Team visited site and found MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG didn't start due to ATS hanged/reset, Presently MEW power restored at site. Now alarm cleared.",0,0,Standard,0,1,1,1/16/2026,2026,1,16,Friday
NOCINC0006031291,4983671,1826,S4,JAH,"SULAIBIYA,Customs Cargo Sulaibiya,Sulabiya Industrial Area-2,Inside the Compound of Cargo Office.",AC,Aircon 1 Alarm,Aircon1 Repeating,Jan,1/16/2026,1/16/2026,yes,close,YES,"AC Issue-AC 1 suction line flair nut leak/repaired, Gas charged 2KG. Alarm cleared. ",1,1,Standard,0,1,4,1/16/2026,2026,1,16,Friday
NOCINC0006031298,4983737,5789,S4,JAH,"ABDALLY, BLOCK-5",MEW,Major / Site Down,MAjor,Jan,1/16/2026,1/16/2026,yes,close,NO,"MEW Power restored/MDG disconnected - Our team visited at site and found MEW power restored, Presently team disconnected MDG from site ",1,0,Standard,0,1,4,1/16/2026,2026,1,16,Friday
NOCINC0006031299 ,4983795,5919,S4,JAH,Abdally - Block 4 - Parcel 4ن - PACI NO 93857416 - Unit PACI NO19606352,MEW,Major / Site Down,Rectifier Major Radio,Jan,1/16/2026,1/16/2026,yes,close,NO,"MEW Power restored/MDG disconnected - Our team visited at site and found MEW power restored, Presently team disconnected MDG from site ",1,0,Standard,0,1,4,1/16/2026,2026,1,16,Friday
NOCINC0006031304 ,4983802,812,,JAH,"MUTLAA,MUTLA'A AREA ,Inside the Desert.",DG,Major / Site Down,Rectifier Major Radio,Jan,1/16/2026,1/16/2026,,close,NO,DG issue - Our team visited at site and found DG stopped due to low frequency/ frequency adjusted and started dg . Now alarm clear ,0,0,Standard,0,1,,1/16/2026,2026,1,16,Friday
NOCINC0006031306 ,4983785,1034,S1,JAH,"RAWDATEEN,Rawdatain Mincipality",Standby DG,Major / Site Down,Major,Jan,1/16/2026,1/16/2026,,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG did not start due to start failure due to starting motor stuck/rectified and started DG , Presently MEW power restored at site. Now alarm cleared.",0,0,Standard,0,1,1,1/16/2026,2026,1,16,Friday
NOCINC0006031313,4983897,1264,S4,JAH,"Jaber Al-Ahmad - Block 1 - St 175 - Parcel 900003 - PACI NO 93510973, COOP",AC,Aircon 2 Alarm,Aircon2,Jan,1/16/2026,1/16/2026,,close,NO,Self Cleared - As per KWT NOC there is no alarm active at site. Alarm self-cleared and stable. Please close TT,0,0,Standard,0,1,4,1/16/2026,2026,1,16,Friday
NOCINC0006031312,4983840,370,,JAH,"SULAIBIYA, BLOCK-1 AGRICULTURE, TEMP SITE",Fuel/FFS,,Low Fuel Level,Jan,1/16/2026,1/17/2026,,close,NO,"Fuel filled by tanker-we will fill fuel as per our scheduel  comes, Presently our team filled fuel by tanker. Alarm cleared. ",0,0,Standard,0,1,,1/16/2026,2026,1,16,Friday
NOCINC0006031316,4983907,1092,S1,JAH,"RAWDATEEN,Abdally 80 Road",Standby DG,DA on Load,DA on Load,Jan,1/16/2026,1/16/2026,,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG running at site, Presently MEW power restored at site. Now alarm cleared.",0,0,Standard,0,1,1,1/16/2026,2026,1,16,Friday
